ID,Nom,Categorie,PrixAchat_FDJ,PrixVente_FDJ,Quantite,DateExpiration,PrixAchat_original_avant_correction,ProductID
795,ECONAZOLE MYLAN 1% CREME 30g TUBE/1,Non catégorisé,660,700,3,,,C3F8020B-94E7-4BE3-BA7B-0C8A132F8D58
309,ULTRALEVURE 100MG SUSP BUV S20,Suppositoire,2800,2950,9,,2800000,6E08DB0D-5ACA-4E4D-BB40-0C9D7E9FC364
1062,fucidine merhem,Pommade,0,800,0,,,C2FF8A73-E330-4007-AF01-0CA661F7DA14
17,BRONCATHIOL SIROP ENFANTS FL125ML,Sirop,700,750,8,1/1/2027 12:00:00 AM,,8AF0B247-B853-49F4-9FF5-0CD2465E2D01
589,XATRAL(DN) LP 10MG 30TB,Non catégorisé,1100,0,0,,,892CC36B-936B-41F3-A245-0CE8E5C661AD
1058,osseovit,Non catégorisé,0,1150,4,,,9EF733AD-0600-420E-9823-0CF63FEEA8A2
301,ANTIBIO SYNALAR SOL AURIC 10ML,Non catégorisé,750,0,3,,750000,8D16EEA5-A42B-43B5-8F87-0D0427A3B756
1309,CHICCO LINGET,Para-médical,0,900,18,,,1B808B45-B775-44BB-9F0F-0D08509AA09F
667,BICARBONATE DE SOD 250GR,Médicaments,450,500,7,1/1/2029 12:00:00 AM,,6B396017-661E-4A4C-B8E4-0D3823414956
638,GEL LARMES 10 G,Médicaments,1100,1200,4,1/4/2028 12:00:00 AM,,1E1E3943-9921-4324-92D3-0D43188246A4
1049,KLOMEN 50MG  10 TAB,Non catégorisé,1200,1300,3,,,B9EB0E30-7C09-4FBF-9F23-0DFBCD88EE15
180,OSMOSOFT 50G PRES,Médicaments,690,830,5,,,0A036775-87B3-498F-9740-0E2168431073
120,METRONIDAZOLE INJ 500MG/100ML 100ML,Non catégorisé,350,0,12,,350000,F7F4C4B4-96F0-411E-A403-0E4091438168
640,NURABOL 4MG CPR B/30,Médicaments,850,900,19,1/10/2027 12:00:00 AM,,B15CDA63-3AF3-43ED-A60C-0E633955492B
33,PRIMOLUT-NOR 10MG CPR 30,Non catégorisé,1250,1550,3,1/1/2030 12:00:00 AM,,803299C6-EB3D-4DB5-8154-0E836514DEC7
785,DOPPELHERZ AKTIV IMMUNO VITAL TAB/30,Non catégorisé,1270,1350,2,,,737DD7EC-3857-4EE3-8C2D-0EAB02522620
693,DOLIPRANE SUPPO 100MG B10,Non catégorisé,420,500,7,1/4/2028 12:00:00 AM,,3A226BCD-937F-4AB6-8515-0ED179AFA6ED
103,GLUCOPHAGE 1000MG CPR,Non catégorisé,0,0,0,,,56D49DC9-BBC8-4737-845B-0EDFF7D48321
1155,TEGRETOL SUP 100 MG 20TAB,Non catégorisé,1050,1150,9,,,B26730A0-62E2-4633-8866-0F1964B340D8
99,FORXIGA 10MG TAB BT28,Non catégorisé,0,0,0,,,AF063A9D-3677-4E0B-8FFB-0F3558A73BDE
240,OMEPRAZOLE MYLAN FLACON 20MG BT/28 GELULES,Médicaments,1150,1200,74,,,9114ABCD-58F1-405D-AB27-0F4524F9585D
1130,AKTIV OPTIMAL EYES,Non catégorisé,2650,2750,2,,,21EAFE06-513B-48B0-BA02-0F5132616FFD
14,CLARIVER TOUX NOCT adult 150 ml,Sirop,1300,1450,2,1/11/2026 12:00:00 AM,,F856139C-B4BD-43CA-A18F-0F817F3783F7
1125,AKTIV JOINTS 1200,Non catégorisé,1950,2050,1,,,5553A2F3-C154-44F5-9260-0FB54740EA29
904,3 ANNEAUX SAVON DE MARSEILLE BEBE 100GR,Non catégorisé,134,200,24,,,A56DD439-FE04-45FC-9062-0FDAB0734F5C
494,HYTACAND 16MG/12.5MG CPR B/30,Médicaments,2000,2350,9,1/8/2026 12:00:00 AM,,FEF051FA-2D8A-4E7B-81C9-0FF0B0EE0496
229,BONCIPRO 500 MG CPR B/20,Non catégorisé,1500,0,4,,1500000,0EDC2E63-5238-4ADA-81CD-1003DDC236B1
1094,CHICCO 4+ PHYSIO,Para-médical,1200,1300,4,,,DF17AAF7-7C97-4D2C-A763-102BFD2479FB
66,NURALGIL SP FL125ML,Non catégorisé,0,0,0,,,8A5A5266-0234-460C-9282-1064FAA2F569
1217,NIDICARD 10 MG 30 KAP (NIFEDIPIN) DR,Non catégorisé,750,1100,4,,,BA27AB89-CC74-4AD4-8515-1070F972585C
827,FBOTTLE PERFECT EASY PP 150 SLOW UNI SIL,Non catégorisé,1772,1880,6,,,7F021096-E5CF-4FD0-ADB9-107309C2B550
191,BETADINE SOL DERMIQUE125ML,Non catégorisé,520,600,4,,,368965D2-8421-4CA2-9108-1073BCECE01C
723,DOLIPRANE EFF 1G B/8,Non catégorisé,400,450,0,1/11/2026 12:00:00 AM,,9AB541D0-0162-4E9F-B535-108DE69F0F08
471,ENTAMIZOLE SUSP BUV FL100ML,Suppositoire,850,1000,28,1/6/2027 12:00:00 AM,,3459C111-6B27-4286-89F1-10937DC085AB
1281,FURADANTINE 50MG GELU BT21,Non catégorisé,1050,1150,15,,,2F53716F-7E82-460F-813D-10A184727593
1305,VEINOMIX FORT,Vitamine,0,3100,2,,,DC6F679D-01B1-4E6E-9598-10A1A03CB544
921,COLGATE DENTIFRICE MAX FRESH CLEAN MENTHE 100ML,Non catégorisé,424,600,3,,,FA9F1185-D93E-49D2-B73E-10B2BE39E604
65,FLUIMUCIL AD FL125ML,Non catégorisé,0,0,10,,,2C8652D3-1923-457F-84EE-10DB83F6C5B5
140,DOPPELHERZ OMEGA-3 FOLIC ACIDE + B6 + B12 30CPS,Non catégorisé,1540,0,3,,1540000,F45FE9E0-E816-475A-8673-10EC6997E20E
477,FLAGYL 500MG CPR B 14,Médicaments,600,1100,51,1/6/2027 12:00:00 AM,,E9866577-EFD2-4053-BADE-1142F64AAA74
223,MASK 3PLY BLACK B/50,Médicaments,500,550,0,,,4A7117EE-6EDD-43B9-92FD-11644DDAB887
1140,labell spradra,Para-médical,0,150,0,,,AD83A58F-FEBB-49C8-81AA-118C646E4BEE
139,BT/60,Non catégorisé,0,0,0,,,F0DF7881-CE47-4FE3-9A78-11BEB08BE69D
119,MEGAMYLASE 200U SIROP 125ML,Non catégorisé,780,0,10,,780000,F4CCB588-9C1C-44B0-8C17-11E5ABC0AC6D
122,MEGAMLASE SP 125ML FR,Sirop,800,1200,10,,,64AAB5F2-1949-4CF1-B3A2-11EC91D2E941
1327,R7703,Non catégorisé,0,900,12,,,55FE1E94-303E-4E7D-A9F3-1214FAC010F5
441,BETASTENE 2 MG CPR DISP BT/20,Non catégorisé,1100,1150,10,,,9CB2B551-BCE3-42E8-8E4D-125507B7847A
1298,twinzol,Non catégorisé,0,2480,4,,,7547FD59-3229-4656-B9D6-12735F1AEC93
567,SERETIDE DISKU 500/50MCG 60DOSES FR,Non catégorisé,4300,4500,5,,,92C4AA8C-189F-46B9-B14F-12F2177B921E
165,DOPPELHERZ AKTIV C 1000+D3+ZINK DEPOT TBL 300,Médicaments,1150,1200,3,,,026C25B4-847C-409B-AFC6-13223244790A
587,VISCERALGINE SIROP FL150ML,Sirop,550,700,7,1/4/2027 12:00:00 AM,,0EDCA8D5-4A2D-48DE-8366-1328867BAF32
1184,BERAZIN 15MG 5ML SIROP,Sirop,850,950,39,,,E88B5F89-9593-4888-AA44-135620B5CC07
557,POLYDEXA GTTES AUR. FL10.5ML,Non catégorisé,700,800,3,,,BEC80838-5A9D-474D-81D1-1357C34AB80D
1096,CHICCO 2-6 M PHYSIO  FORMA,Para-médical,1060,1160,7,,,52027413-6F2F-47E9-B837-137DC4638CCD
1028,PANSORAL ORAL CARE,Crème,1950,2050,1,,,76EB5351-7612-4303-97DD-13D6CE1359DE
281,NAVIDOXINE CPR B/10,Médicaments,600,900,16,1/10/2028 12:00:00 AM,,883395FB-FFE6-4524-95E8-141A3426EA15
953,navidoxine 25mg 10 cpr,Médicaments,850,0,0,,,2EC83786-1517-4689-8C32-141B25FF604C
373,OSTEOCARE LIQUID200ML,Non catégorisé,800,1100,19,1/6/2026 12:00:00 AM,,961BF839-1C97-4477-BAC3-14A40DCF1995
466,EFFERALGAN EFF 500MG CPR B16,Non catégorisé,450,500,184,,,553D3BCA-EA4C-45F2-A174-14A65B992BE1
1334,R7543,Non catégorisé,0,900,12,,,A4390EFF-DB56-4C21-A146-14EABFD525CC
1322,MUCOMYST 200MG 18 SACHETS,Non catégorisé,850,950,10,,,E1DAC19F-1903-414B-BBEF-14F99AD42D42
1000,BANDE GAZE LÀBELL 3M*10CM BOITE DE10,Non catégorisé,770,870,2,,,943152F3-4CC5-4233-B5B2-157549C8D657
151,DOPPELHERZ AKTIV IMMUNO VITAL TAB/30,Non catégorisé,1270,0,2,,1270000,4C249C1B-720B-4B6A-B64D-158240E1AB6B
660,LOXEN 20MG CPR SEC.BT30,Médicaments,1400,1450,10,1/7/2026 12:00:00 AM,,11168388-0406-405B-98E9-15870C6D39C7
692,COQUELUSEDAL SUPPO ENF B/10,Non catégorisé,650,0,0,1/7/2027 12:00:00 AM,,4229BA00-CBAE-4F8F-9215-16074F507DD7
952,GEL BUCCAL ADULT TUB TUB 15G,Médicaments,1990,2120,3,,,0D4EC48C-878B-4ECB-B190-161F8CB0D069
615,TENORMIE 50 MG CPR BT30,Médicaments,1250,0,0,,,E858EB5E-27A0-4C68-A05E-16B7665B8992
83,BACTRIM AD CPR BT20 (FR),Non catégorisé,0,0,0,,,C69DD0B5-F94A-4803-A2C2-16BB1A60041F
556,PLAVIX 75MG CPR B/30 (FR),Non catégorisé,3800,0,0,,,79CB73C2-45CB-49E7-BB5F-16D606A7D26C
975,"DIGOXINE NATIV. 0,25MG CPR BT30",Non catégorisé,750,1200,10,,,365E1E37-86D5-4D7B-AB31-171116271559
928,MONSAVON SAVON AU LAIT 100 GR.,Non catégorisé,126,180,12,,,B4E5C86B-DD2B-4F6F-AD36-172A8ADB371E
1232,OSTEOCARE ORGINAL 30TABS,Non catégorisé,790,950,12,,,756A2EC4-05F4-4AAA-8578-17326C6B3B5B
745,VERMOX 2% SUSP . FL30ML,Sirop,600,750,28,1/3/2027 12:00:00 AM,,6C909358-684A-4C6E-A88A-1782869F98B1
718,LARGACTIL 25MG CPR BT50,Non catégorisé,950,1000,0,1/7/2027 12:00:00 AM,,8A0E34CD-9CBA-4D64-A64E-1794C01D2D21
279,XILONE 5MG/5ML 100ML,Non catégorisé,900,950,2,,,1F8D4970-1466-4EF1-867E-17A947F81737
981,ADIARIL PDR SACHET 7G B/10,Sachet,2000,2500,0,,,852B54B6-979B-486D-8195-17DB3BE957E8
954,ADIONE 10MG 10 CPR,Médicaments,860,950,10,,,51992D87-F3C9-4BD3-A263-1818884FC80C
774,POLYFRESH 0.2% COLL F/10ML,Collyre,1300,1650,14,,,778CF637-26C6-4EB8-9C79-1838DC0A9964
1202,VOGALENE SUPPO SEC 5MG B/10,Suppositoire,450,550,8,,,CC9A9C71-AF7C-4107-914E-184C50E92CB9
967,HALDOL DECANOAS INJ 1ML BT1,Para-médical,1050,1350,9,,,4211C0F8-8004-42BE-83FF-184D8DBC4D75
475,FEBRILEX+SIROP150ML,Sirop,550,700,10,1/8/2028 12:00:00 AM,,DF8801E9-B83E-401F-81FB-188FC0615A0B
1134,AKTIV RIBOSAN COUGH SYRUP,Sirop,2000,2100,3,,,DE150BED-630D-48BF-9876-18A1AF1363D4
234,BACTRIM 400/80MG TABLET 302,Médicaments,1250,1300,0,,,3CE9C221-CB18-4138-97C2-18B98E36479A
375,DIFAL 1% GEL TUB 50GR,Crème,250,600,0,1/1/2028 12:00:00 AM,,4004DFBE-9043-473D-84B0-18F0C139C514
389,CLARIL 500MG B/14 CP,Non catégorisé,1550,2150,0,1/4/2027 12:00:00 AM,,9A261021-5503-4E6A-8AAD-18FE1502882A
504,JUVAMINE MONO VIT C 1000 EFF B/15,Vitamine,550,600,2,1/4/2028 12:00:00 AM,,4FAFC5EA-0269-42DD-9998-19174CABBF00
515,LEVOTHYROX 25MG CPR BT30,Médicaments,200,350,14,1/7/2027 12:00:00 AM,,BF2A4CE1-7CCB-44C5-805B-192759AE8290
1254,PERFECT 5 PP GIRL 240,Dermo-cosmétique,900,1100,2,,,7306E233-3655-4A57-911B-192B1B98AA39
408,ANAFRANIL SR 75 MG TAB B/30 ( DR),Non catégorisé,1200,1800,6,,,BB81DC96-6A57-41F9-9CE1-194EC70D5370
858,BPH. FAMILY SHAMP. 2EN1 PAPAYE TT DE CHEV. 750ML,Non catégorisé,591,890,6,,,D8DFF6C0-8381-4AFB-AAF0-19778AB5BB80
832,TEATS PERFECT 5 0M+SLOW SIL 2PCS,Non catégorisé,1364,1470,6,,,7D96BBC7-6558-4A8D-9102-19A896697A9F
337,CHLORIDE DE SODIUM 500ML (SN),Médicaments,1350,450,60,,,EA9112B6-AC42-439A-98E0-19D61D932B12
831,BOTTLE WB PP YELLOW GRL 330 FAST SIL,Non catégorisé,1727,1830,12,,,A5228AE9-BEF8-40EB-BE61-19DBCA186584
230,CIPRO-DENK750MG B/10 CPR,Non catégorisé,2290,0,4,,2290000,F329F169-C0D1-4C96-BAC5-1A725277A870
864,BPH SERUM ILLUMINATEUR VITAMIN C 40ML,Non catégorisé,1212,1800,6,,,B40B7AD2-6837-4495-A123-1B193420E7DC
206,COMPRESS STERIL LABELL 40X40 BT10,Non catégorisé,470,0,5,,470000,33500C78-8D14-4EF4-A574-1B760F63478B
1152,DICLOMEC 3ML AMP,Non catégorisé,200,250,19,,,D257811E-0897-45CA-AAE7-1B8CB414C0B0
1312,CLARITYNE 10MG,Médicaments,0,1000,28,,,6871DD6A-F751-4DEA-929B-1BB97A027B79
214,DUPHALAC SACH DOSE 15ML BT20,Non catégorisé,930,0,3,,930000,261B1362-12BC-4672-B117-1CB26D3A7967
448,CLARIVER TOUX NOCT ENFTS 150ML,Non catégorisé,1550,1350,3,,,93F173DB-D7F0-42C8-B600-1CCE34BBDEEC
616,TENORMIE 100 MG CPR BT30,Médicaments,2400,0,0,,,D871910A-9B2B-4C79-9350-1D1EEB18D3E6
959,MASK 3PLY B/50,Non catégorisé,450,500,4,,,29FA66CE-2B39-4082-B1FA-1D80D47D523D
1192,HYDRAVIT SACHET,Sachet,0,2000,9,,,4E7CD3AD-E215-4B56-95AE-1D90470D921E
306,"CARDENSIEL 2,5MG CPR  B/ 30",Médicaments,1150,1300,5,,1150000,1E6A21EB-69E5-4980-ABA7-1D962240A67F
580,1,Non catégorisé,100,0,0,,,5B276715-B44A-4B35-BE7B-1DFFAB63EF53
1342,SLEEPY CAMOMILE,Non catégorisé,0,400,12,,,1654081F-C40E-4BC7-B141-1E20C6702DFF
379,MUCOCIL SIROP ENFFL125ML000,Sirop,500,550,24,1/1/2028 12:00:00 AM,,E5946534-1BBE-4B8D-A829-1E589B7364E2
1122,AKTIV VITAMINE FOR DIABETICS,Non catégorisé,1200,1300,0,,,413747D4-F76C-466D-BDD3-1E5C10CD611F
454,DOLIPRANE 150MG 12SACHET,Non catégorisé,450,500,10,,,AE32CAC9-E660-4B9A-A409-1EA66CD9BF2C
614,LOSARTAN /HCTZ 50MG/12.5MG MYL 28 CPR,Médicaments,1200,1350,10,,,52E5333F-BB38-4B8A-B5B9-1EDB8BC950E7
1231,IMMUNACE ORGINAL 30CAP,Vitamine,1400,1800,10,,,613AACC4-7E55-4A28-8908-1F0D1C21ECEB
100,AMLODIPINE MYLAN 5MG,Non catégorisé,0,0,0,,,E4E4520E-8047-4125-9578-2013DD808412
973,ACIDE FOLIQUE CCD 5MG BT 20,Vitamine,500,650,25,,,99A0EC80-694F-48EA-90ED-2041D8F1B0D5
388,PERVITAL SUSP BUVFL125ML,Sirop,350,650,40,1/10/2027 12:00:00 AM,,0CFACC8F-A57D-4B29-89FB-207834239150
395,ACTIMAG SOLUTION FL100ML,Médicaments,1250,1350,8,1/2/2027 12:00:00 AM,,23097887-EFC0-43BF-988A-20C541CED596
104,GLUCOPHAGE 850MG BT30,Médicaments,1000,1100,35,,,3231E042-7276-4863-9438-20D92D30C965
1304,EXXIB CELECOXIB,Non catégorisé,0,1050,8,,,38B25381-4963-48C7-B4CD-20E035662921
73,CROQ/30,Non catégorisé,0,0,5,,,19FF1825-DD78-48AE-B93A-2120160D962C
1272,BIOHEALTH  COLLAGEN PWD 10MG 20 SACHET,Non catégorisé,2900,3000,9,,,650B8DF5-BBA4-4986-AD8F-21A70DDDE878
208,ASCABIOL LOTION 125ML,Non catégorisé,1300,1300,10,,,8DBC591E-613C-4C3C-A86A-21CC8EA39B88
32,AMARYL 3MG 30TB,Médicaments,800,1000,6,1/12/2027 12:00:00 AM,,9DE77CF2-21A7-4137-9DD9-21E5C8151BE3
102,B30 FR,Non catégorisé,0,0,0,,,5F0274ED-526D-4A85-A9B2-21E781BDD51C
423,AUGMENTIN PDR NOUR 100 MG,Non catégorisé,1150,1050,27,,,E28983DA-97A2-4753-8961-21F07F31A77F
554,PHENERGAN SIROP FL150ML,Non catégorisé,650,0,0,,,FBF6E40B-76C7-4B8F-9541-223A0A3A5BDE
801,FUSIBACT 2% POMADA TUB 15G,Pommade,700,800,3,,,CBA17231-0628-42A3-980F-224FEE91625A
672,APEXIME 250MG CPR B/6,Non catégorisé,1550,1600,0,1/4/2027 12:00:00 AM,,FD147FC7-AFC0-4341-8899-225858C4DAA1
282,ADIONE 10MG/10MG CPR 10,Non catégorisé,860,0,4,,860000,F5F68ED2-3CB2-487C-85FD-22F1BE6E3526
53,METPAMID BT30 DR METOCLOPRAMID,Médicaments,550,750,20,1/11/2029 12:00:00 AM,,93B4FEEC-1DCB-4D30-B394-23284C9B2472
79,HEXASPRAY COLLUT 30G,Collyre,950,1050,5,1/4/2030 12:00:00 AM,,740D683F-AF01-4EF2-9241-2362CA3824D6
1229,TARRAMYCIN(TETRAYCILIN OPTH),Collyre,950,1050,5,,,DF39AAAA-8DE3-490D-8C03-239D1C687FE0
1243,JOINTACE ORIGINAL 30TAB,Vitamine,1450,1550,14,,,39223333-6D9B-4A23-9461-23AB448EA9B4
1303,DORZOLAMIDE / TIMOLOL 20MG/ML +5ML /ML,Collyre,0,2600,2,,,A81815EC-F7B2-404E-B0E7-23DB8113E09C
876,FW ORIGINAL GLUTATION LAIT SOOML,Non catégorisé,2816,2950,2,,,42F993CB-5627-42B8-AC44-23E08F82370A
950,LAMALINE VIATRIS 16 GELULES,Médicaments,700,750,5,,,D0DA51F3-458D-4466-8667-23EB48E2DF51
498,IXINE 200 MG  B/10 TABLET ( OROKEN),Non catégorisé,1100,0,0,,,5364D6AB-39D1-47EF-AAE9-24158340B1EC
766,UROREC 4MG GEL B/30 KAP DR,Médicaments,1700,1800,5,1/4/2028 12:00:00 AM,,FAC366F4-30A9-462A-ADA0-245DD7346A01
1203,TRILLERG COLLYRE 0.4MG/0.5ML 10ML,Non catégorisé,790,1200,5,,,DDFF717C-AC41-45AC-A102-24C8E85D6B68
1245,JANUVIA 100MG 28TAB,Non catégorisé,2800,2900,3,,,2B4DBFC3-E581-42E1-A257-24F7AC4D6897
855,BPH LAIT CORPS GERME DE BLE SOOML,Non catégorisé,1010,1500,6,,,34AE1E9A-15FC-412E-AAC1-251D6DE995E0
1186,HUIL DE PARAFINE COOPER 250ML,Sirop,1200,1350,5,,,A9B0B163-AF37-4D24-A58B-2548DB584E17
1333,R6263,Non catégorisé,0,750,12,,,481CBBFA-DC90-4C67-9419-254F424C4BDD
1111,coveram 10/10,Médicaments,0,1700,2,,,F9D05AE7-EC8F-483C-884A-25A45BEE9E9A
763,TOPLEXIL SIROP FL 150ML,Sirop,800,850,0,1/5/2028 12:00:00 AM,,AF01D8E2-0F58-4F4B-8782-25EC2125A083
